Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Yes,41,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,1,Medium,Female,94,High,MidLevel,Sales Executive,Very High,Single,5993,19479,8,Yes,11,Excellent,Low,80,NoStockOption,8,0,Bad,6,4,0,5
No,49,Travel_Frequently,279,R & D,8,Below College,Life Sciences,1,2,High,Male,61,Medium,MidLevel,Research Scientist,Medium,Married,5130,24907,1,No,23,Outstanding,Very High,80,<100ESOPShares,10,3,Better,10,7,1,7
Yes,37,Travel_Rarely,1373,R & D,2,College,Other,1,3,Very High,Male,92,Medium,JuniorLevel,Laboratory Technician,High,Single,2090,2396,6,Yes,15,Excellent,Medium,80,NoStockOption,7,3,Better,0,0,0,0
No,33,Travel_Frequently,1392,R & D,3,Master,Life Sciences,1,4,Very High,Female,56,High,JuniorLevel,Research Scientist,High,Married,2909,23159,1,Yes,11,Excellent,High,80,NoStockOption,8,3,Better,8,7,3,0
No,27,Travel_Rarely,591,R & D,2,Below College,Medical,1,5,Low,Male,40,High,JuniorLevel,Laboratory Technician,Medium,Married,3468,16632,9,No,12,Excellent,Very High,80,<100ESOPShares,6,3,Better,2,2,2,2
No,32,Travel_Frequently,1005,R & D,2,College,Life Sciences,1,6,Very High,Male,79,High,JuniorLevel,Laboratory Technician,Very High,Single,3068,11864,0,No,13,Excellent,High,80,NoStockOption,8,2,Good,7,7,3,6
No,59,Travel_Rarely,1324,R & D,3,Bachelor,Medical,1,7,High,Female,81,Very High,JuniorLevel,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Outstanding,Low,80,>500ESOPShares,12,3,Good,1,0,0,0
No,30,Travel_Rarely,1358,R & D,24,Below College,Life Sciences,1,8,Very High,Male,67,High,JuniorLevel,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Outstanding,Medium,80,<100ESOPShares,1,2,Better,1,0,0,0
No,38,Travel_Frequently,216,R & D,23,Bachelor,Life Sciences,1,9,Very High,Male,44,Medium,SeniorLevelL1,Manufacturing Director,High,Single,9526,8787,0,No,21,Outstanding,Medium,80,NoStockOption,10,2,Better,9,7,1,8
No,36,Travel_Rarely,1299,R & D,27,Bachelor,Medical,1,10,High,Male,94,High,MidLevel,Healthcare Representative,High,Married,5237,16577,6,No,13,Excellent,Medium,80,100-500ESOPShares,17,3,Good,7,7,7,7
